"","Transcript","Participant","Comment","commentNumber"
"131","R1_2","32","32: We've been working to have all of Our MRIs and EPRIMES uploaded to a platform which isn't exactly open. You still have to request access, but it's all of the raw data.",8
"132","R1_2","33","33: I actually haven't used a lot of open science practices myself, I would say. I think I've benefited from other people using it, which is helpful to to see how useful it can be, and does motivate me to to learn more about it, and to use use more of them, I guess. But to agree with some of the other points about. There probably are some pieces that I'm already doing at parts of and need some more knowledge to to use more open open practices.",9
"133","R1_2","F","F: Thank you for sharing that. I'm wondering how you've benefited from others using open science practices. In what way?",10
"134","R1_2","33","33: Yeah, I've definitely looked at other people's code and taken pieces of code. And I really like when people publish stimuli because that's always a big thing that I think about is they get these results. And what stimuli did they actually use? And how does that compare to my, the stimuli that I've used? So those are some of the biggest ones. I also really have looked at a lot of pre-prints. I think that is a great practice. I think it just feels. I mean, I'm sure we'll get into some of this, but so overwhelming to think about where to start with these things right? And so...but it is nice to to see how it's helped me, and so hopefully, that will be something I can use in the future.",11
"135","R1_2","F","F: Thank you. That's very helpful. Any other experiences that you all have had using open science practices?",12
"136","R1_2","28","28: Do you want us to? So like that some of the things people mentioned I have done? But I didn't mention the first time. Do you want us to jump back in? So you have like full representation?",13
"137","R1_2","F","F: Sure. Yeah, you're welcome to comment on anything that has resonated with you so far.",14
"138","R1_2","28","28: Okay, just one paper I'm on. We have a Pre print and a new IRB protocol we submitted has built into the consent, a place where they can consent to their data being made publicly available. This is one thing we've kind of struggled within the past is whether it is a violation of people's consent to put their MRI scans online for clinical populations, for example, even if their skull stripped and everything if they didn't consent. So there are some like gray areas where we weren't quite sure what to do. So now we're trying to be more explicit. Upfront. But yeah. I agree also with X that I've benefited from other people posting their things online.",15
"139","R1_2","29","29: I mentioned is, look at. Oh, I was just gonna echo right, being a consumer specifically of code, has been really, really useful for me. And then also trying to work language into the IRB to be more open with data going forward as a goal. I think that was always gonna say.",16
"140","R1_2","30","30: Yeah, it's definitely a moving target with IRBs. We've we've had some issues with that for sure. So we're working on it. But it's it's a hard one. And the other experience I've had is paying multiple thousands of dollars for open access to things which I'm sure people here have done also, which is a huge barrier for those of us who are all early in our career, because it's like, don't know how much I have laying around. That's, you know, $12,000 for 4 papers. So that's the other fun experience I've had.",17
"141","R1_2","27","27: Yeah, I agree. Being a consumer is something that I've done particularly with stimuli for experiments. I also had. I took the CSDisseminate I guess zoom presentation about how to make your website have all of the articles on it. And so my lab website includes links to download the freely available version of our published papers. But then also we created a Google form that allows people to add their email address requesting papers that are not publicly available so that we can send them to them another way.",18
"142","R1_2","F","F: Thank you all. Just for time's sake. I'm gonna move us on to the next question.",19
"143","R1_2","F","F: What training experiences have you had if any, about open science practices?",20
"144","R1_2","29","29: For me, the only explicit training experiences would have been through CSDisseminate webinars.",21
"145","R1_2","33","33: Yeah, same for me.",22
"146","R1_2","32","32: I’ve had a few trainings at conferences. Some through CSDisseminate, but also at ASNR, the  American Society for Neurorehabilitation. They have some talks usually about big data and trying to use consistent outcome measures. And open science practices.",23
"147","R1_2","30","30: Mine's been like 99% twitter and 1% conference probably. If I'm being honest.",24
"148","R1_2","27","27: Yeah, I I echo the big social media influence for open science. And then also the CSDisseminate events.",25
"149","R1_2","34","34: I was just gonna say, also, I I've had very...",26
"150","R1_2","F","F: X, it looks like you were speaking... ",27
"151","R1_2","34","34: Sorry about that my screen was blinking on and off, and so I can't see anything for a few minutes, but I'm sorry. What I was just gonna share was I have not had direct training either, like like some of the others, but mostly experience, I guess exposure at conferences, and then but very little, I would say.",28
"152","R1_2","F","F: Thank you.",29
"153","R1_2","31","31: I also haven't had any real trainings, and I would say some of that is I need to reach out, and I I I have an interest that I have no training and I don't know if that's because I'm not seeking it out, or I don't know where to seek it out. I'm learning some tips already from this group. But I don't have any. I have never attended a a conference or a seminar, or anything.",30
"154","R1_2","28","28: The library, the librarians at  host a training on how to put your papers into repositories that people can access. We the the it was like a 1 hour long workshop, or something like that. But we learned about how if you put your papers on Research Gate, you're basically giving Research Gate the right to use all of your figures and do all these things that you didn't know you were giving them the rights to and and showing us how to get our papers off of Research Gate, and then move towards repositories through the university. But, there's so many people interested in it that the waitlist is very long, and we it's been like 8 months now, and I still haven't been contacted for that. But ostensibly I know how to put papers on an repository that people can access.",31
"155","R1_2","F","F: Thank you. All right, we're going to move on to the next question, what open science topics would you like to learn more about? And we just listed some here as examples, but feel free to talk about others as well.",32
"156","R1_2","31","31: Kind of related. This answers this new question, but off of what X was saying, I want to share my papers more and better, and I'm gonna say, one time I tried the first time I ever tried to share something I got in trouble or told like this can't go on there. And I was like, “Oh, no!” And so I feel like I'm not sure you know which public.. how to share them, you know, when you're submitting, you get something you have to sign like, you know, we're giving our paper to the publisher. So I...clearly there's a way to do. I have some available my website. And I'm still not sure like, are those supposed to be there? So yeah, I feel like I got I was told to take down something the first time I tried to share it. I'm sure it's a lot of operator error, and just me not doing the right trainings, but I don't know which articles we're allowed to share, how to share them. Things like that.",33
"157","R1_2","28","28: I agree.",34
"158","R1_2","27","27: Yeah, I agree also even after the CSDisseminate talk about self archiving, we still, in the in my lab, are struggling to find the rules for each publisher, and it seems like every time we look they are a little bit different. So that's been a really big challenge. I recently saw a website of a calling in CSD who has a disclaimer on her website that says, by visiting this website and clicking this link that is personal contact with me. And I'm sharing my personal copy with you. Which I thought was a very creative way around it. But I don't know how legal it is, and so learning more about that would be really good. I also don't know what open educational resources are. So that would be a good thing to learn about.",35
"159","R1_2","32","32: Oh, I'm just gonna say it's like the only way I know how to share my papers is when NIH yells at me that we to share them. Like I I don't know how else to do it, so sometimes I just put collaborators’ NIH grants in my acknowledgments so that they'll yell at me so that I can put it on PubMed central.",36
"160","R1_2","30","30: Yeah, I preprint everything, because as far as I've been able to tell you cannot be yelled at for preprinting because it's not owned by a publisher yet. But the one thing that, uh oh, I just blanked on what I was going to say...self-arching...Oh, yeah. The one thing I was gonna mention is, I've actually had a cease-and-desist letter from a publisher about the linking your own personal copy. So just per X's comment there, I'm not sure even that gets you away from that I've actually and of course it was Elsevier. I mean, you could also do that? But anyway, so typically, we just link to pre-prints and as far as I know, as long as you update the pre print to the accepted version, I've learned, it's okay. But I'd also like to learn more about the open educational resources and open peer review scares me as a platform. But I'd like to learn more about that.",37
"161","R1_2","29","29: I think I'd like to learn about how to be more efficient in my workflow for building in open science practices. So for example, I I I know the mechanics behind getting you know a paper up before it's formatted by the journal for post prints or pre prints, and I know the mechanics of putting my code up on OSF and making it available. But I feel like all of that takes a lot of additional time for me. Making sure that even if it's not the final formatted version of a paper, it's still in a format that I feel really confident is very, very, very close to what's gonna finally get published. And for code I haven't figured out how to do that efficiently, because my code is always a slew of comments to myself that I don't necessarily want on...accessible to everyone. More just because it's very informal to me. And so there always feels like there needs to be a cleaning step which just feels unnecessary, but also necessary. So learning how to just build it in in a way that's more efficient towards the end, goals of making it open is something I'm interested in. Also interested in learning more about the open peer review and educational resources, neither of which are super familiar to me.",38
"162","R1_2","33","33: It's a really good point, yeah, about making...or how to make your practices efficient and work for because it does just feel, I mean, at least at this point for me feels like this extra big step that is like, how do I even do this with everything else going on? And then I'm really interested in in open data. I mean, I think a lot of us in our field deal with small ns. And so how to to use data from other researchers to help bolster our numbers. And I mean particularly for what I do using speech samples is always a challenge with IRB and how you know, sharing that data. And but I think it's so important. And how how do we do that, and how you navigate the IRB to make that happen. I think are big challenges that I'm interested in learning more about.",39
"163","R1_2","34","34: I was just gonna say, of all the things on your question there, I have the most experience with the open educational resources, just because at my last institution there was funding from the university if you made OER. And then there was also, like a fairly big repository, I guess, through our library of open educational resources. So I am very interested in that and doing that, perhaps, but I agree with most others in saying a lot of it is knowing what to do. Pre-print. What can I? You know what's mine? What's theirs? And I feel like we get. I I feel like there's a lot of information out there about that. But I don't feel like it ever all agrees, so I never kind of hear one consistent report on this is what you can or can't do. I have actually heard the safest way is preprint like everyone else. But I'd be interested in learning more about all of them.",40
"164","R1_2","F","F: Thank you all. I really appreciate all of your participation so far. How would you prefer to learn about open science practices? And we've listed some potential options here live or pre-recorded webinars, interactive workshops, handouts, Youtube videos. But any other ideas that you're thinking of that might be helpful please share as well.",41
"165","R1_2","28","28: I really prefer something that is live or interactive. If it's pre-recorded, I will almost certainly never make the time to view it. Unless it's like, I need to know this right this minute. So really, something that's more hands-on, interactive, works best for me. Personally.",42
"166","R1_2","27","27: I agree with that. I think also having some resources like Youtube videos or handouts would be good in training graduate students as well if they cannot be at the interactive workshop. I, after I did the CSDisseminate live webinar I came back to the students who work with me in my lab, and we talked about it, and it was, I wish that I had had some handouts so that I could walk them through the things that I had learned.",43
"167","R1_2","34","34: I would always say interactive something that's, some kind of workshop that's interactive. ",44
"168","R1_2","31","31: I agree. And I think I heard some of you mentioned earlier that you had some training at different conferences. And so I think that might be a time. If there's conferences that I don't know if ASHA is like too big or something. But if if there was a similar talk that could be taken to some of the, you know, smaller interest conferences. If we're already there and kind of an attending audience, then better chance that the information is taken in. Maybe?",45
"169","R1_2","33","33: I agree that I that I think webinars are really interactive. You know, interactive webinars are really nice. But I think to some like bite-sized Youtube, or some kind of video that it's like, if there's one piece of it that you don't know how to do. Instead of like trying to find for this whole big recording where that piece is, I think would be really nice. Yeah, because sometimes it's like, okay, I have this hour-long webinar. But I need to know this one little thing right? And how do I find that?",46
"170","R1_2","29","29: Yeah, to that end I think things like cheat sheets are really useful, like brief handouts, or, you know, a page on a site or something. I know a lot of people really like like short videos like Tik Tok style videos. For that reason I can't get myself to learn very easily from that. But the written and visual version of that sort of static version, I find really useful for for some things related to open science practices.",47
"171","R1_2","27","27: Yeah, like an infographic almost.",48
"172","R1_2","F","F: Thank you. Now, we're going to move on to discuss four different open science practices in more detail. The first one we'll talk about is preregistration which some of you have already mentioned today. This is the process of posting an outline for a proposed research project on a preregistration repository such as the Open Science Framework, before data collection or analysis, preregistrations typically include research questions, hypotheses, methods, and an analysis plan.",49
"173","R1_2","F","F: What do you perceive to be barriers to pre registering your own studies? And these could be things you've already encountered, or things that you think you might encounter if you tried to preregister a study.",50
"174","R1_2","30","30: I ask a clarifying question?",51
"175","R1_2","30","30: Yes. Are we? Are we differentiating between you, preregistering on something like OSF versus, like the registered reports that you submit to a journal?",52
"176","R1_2","F","F: Just for now preregistering like OSF.",53
"177","R1_2","30","30: Okay. Our biggest barrier, is to X's point time, when to do that, and when to submit it, and in more cases than I'm proud to admit we've submitted it at a stage where we have to select basically, we've collected it already. And we're submitting this preregistered report prior to looking at the data. But like we've already done most of the collection, which is, you know, a little bit later than I'd like, but it's mostly just the time aspect of getting it in.",54
"178","R1_2","27","27: We struggled with the actual process of putting the the protocol up on OSF. We found it really confusing about what kind of project or document we were putting up and ended up with two different projects, I guess. Then one of them you could change one of them you couldn’t, and when you can find XX and one you can't. And so it was really hard navigating Open Science Framework by ourselves, even with the help of our librarian. So that's been a big challenge for us.",55
"179","R1_2","28","28: I'll just echo that time has been a factor. And then, I think, like some sort of amorphous concern that putting it out there. And I I think this is probably something that's not grounded in any sort of reality. But like that, putting it out there will give somebody else the idea to then run away with my project. That isn't really the main barrier. It's just kind of like this back of my mind kind of thought. But mostly it's time, confusion about how to do it, what details I need to have, how much detail to go into, those kinds of things. And some of it, too, that's been, probably there's probably real easy to find answers for this. But, like the analysis plan, do I need to have alternative analyses if, like, my data don't need the assumptions for the first proposed analysis, like how much detail.",56
"180","R1_2","33","33: For me it kind of feels like more of a change in mindset that needs to happen. I think of like, why this is important, and that I should spend the time on it. Because if I'm being totally honest that, you know, because I wasn't trained, none of us were trying to do this. And so it does feel like this big thing to add on to the beginning, or wherever in your project, and so something like, just realizing why it's so important, hopefully, might motivate me to to actually take the time and effort needed to do it.",57
"181","R1_2","F","F: Thank you. So it sounds like this the time that it requires the process of figuring out what to do, and when and just the confusion that surrounding this issue. What are some factors that currently facilitate your ability to pre register your own studies, or you imagine might help you in the future if you decide that you want to pre register your own studies?",58
"182","R1_2","32","32: I never pre registered a study, but when I read them, it it's like a Grant application. And so I feel like I already have them written. I just don't do it.",59
"183","R1_2","F","F: Is there anything that you think might help you actually put it in place and preregister it?",60
"184","R1_2","32","32: Time?",61
"185","R1_2","F","F: Time. Thank you.",62
"186","R1_2","32","32: I also, I guess I kind of have this concern. It's like a cooks in the kitchen concern. Because you never know if the reviewers that you get for your pre registration are going to be the same review as you get for your grant. And so then, when you need to go, submit your, resubmit your grant, you've now had to modify, based on two different sets of reviewer feedback.",63
"187","R1_2","F","F: Thank you. Other facilitators?",64
"188","R1_2","31","31: I would just add, I haven't done this at all. So it's like, so I mentioned before, all this like kind of quick, just more information on the how to’s I imagine everything you said would be barriers for me if I would have tried to do this before. But I haven't. And so just no more information of how to and which types of projects. I guess I haven't thought to do this at the time, because I thought some of the projects I'm doing, though it's just a quick little pilot thing or...so I guess more information on what can go in and how to how to do it.",65
"189","R1_2","29","29: Also go back to the point of thinking about the pay off of it. Right. If if pre registration was a surefire way to get feedback from either from peer reviewers or from, you know, maybe not formal peer review. Then I think I would see the value of doing it for more projects.But right. Given the trade off of of time versus obvious, payoff for some smaller projects or even larger projects. I think that something more concretely obvious to me, would be a facilitator, I guess.",66
"190","R1_2","27","27: Yeah, I agree. It's not clear that right now that the time that is required to do all this stuff actually helps us at this stage. And I think, knowing also what resources are already available at the universities where we work is, could be potentially helpful like X, mentioned the library having this training about self-archiving, I want to look up and see if my university has that and because I I feel like as junior people when we come to a university, often it feels overwhelming that we forget to look for the resources that they make available to us.",67
"191","R1_2","F","F: Thank you. We're going to move on to the next practice now, self-archiving. Self-archiving, involves making a version of a manuscript legally and freely available on the lab website, a personal website or in a repository. What do you proceed to be the barriers to self-organizing your work?",68
"192","R1_2","32","32: I know for me. I don't have access to my website. It's run by the PR at the university. And it's just, you know, six extra emails for me to get the paper up there. Per paper. ",69
"193","R1_2","28","28: Yeah. And for that reason I just link to my Google Scholar profile. Which means that I need to have the papers in a repository that is searchable by Google Scholar or findable. I don't actually know. Probably both. And so then I get confused about like, well, where can I put these that they will be findable through the one avenue I've given people to find my work.",70
"194","R1_2","27","27: Yeah, I would agree with that. The lack of control of the university run website is a big barrier. I am able to put links on mine but I have to go through our department administrator, who isn't very tech, savvy. And so that is a huge barrier for me.",71
"195","R1_2","34","34: I would agree. This is something that I want to do, anyway. So time isn't actually really a barrier for me here, I would do this. The barrier for me is the legality as we talked about before, and you know, what are you allowed to do when you're not allowed to do? That's really the barrier for me. And I guess so I guess time is a little bit, because the time that it takes to look into all of that, and then trust that I understood it right. I guess that I guess that part is maybe a time barrier. But really it's it's more about not having the knowledge of what we can and kind of can't do, and where.",72
"196","R1_2","29","29: I think the time element resonates for me. But in the stage of preparing whatever I have to make freely available. So, for example, some journals require that you submit the figures as separate attachments, and so then they appear at the end of the manuscript. As a reader I really don't like reading things that way. So I do want to take the time to put the figures and the captions and the tables in where they would be. But again, that feels like this extra set of steps. And then there's other, you know, versions of that same sort of dilemma of how much modification to make to something, just to make it freely available. Not just to make it freely available. That's very important. But if I'm just trying to get it closer and closer to what the final published version looks like it...Right? It it's again this sort of time-effort trade off.",73
"197","R1_2","27","27: I found that I, still a student, is a really great resource to do all of those formatting things, and I've had a couple of students do that for me. Even undergraduate students are pretty good at working with word and that saves me a lot of time.",74
"198","R1_2","29","29: That's a great point, because that also gets the students thinking about open science practices early on. Thank you for that.",75
"199","R1_2","F","F: Let's move on to facilitators. So what factors currently facilitate your ability to self, archive your work, or could facilitate your ability to self, archive your work in the future?",76
"200","R1_2","27","27: Student helpers. And then resources like CSDisseminate, and our librarians.",77
"201","R1_2","33","33: The CSDisseminate resources for me were really big for this. I feel especially when you publish in similar journal, or the same journals, or whatever. I feel more and more confident that I'm doing it the right way to which helps a lot, because I do think that that's a barrier is being nervous about doing it wrong. And then also seeing that colleagues at similar stages in their career, looking at their websites and seeing how they did it and seeing that it doesn't actually look as scary as you think it is has been really helpful for me, and that I'm like I can do this, too.",78
"202","R1_2","29","29: One of the resources that CSDisseminates provides is a template for the blurb to include at the top of the manuscript, and I always just copy paste that in and I find that really helpful to have really concrete wording and placement in addition to right websites, to look up exactly how to do it. Depending on the journal that you're publishing in.",79
"203","R1_2","F","F: Alright. Thank you. Let's move on to the third topic, the third open science practice we'll discuss is gold open access. This is the process of paying a fee to publishers to make an article available for others to read for free. What do you perceive to be the barriers of publishing using gold? Open access?",80
"204","R1_2","27","27: The fee.",81
"205","R1_2","28","28: Yeah, for sure. The money. When you're in a lab that has a ton of funding, great let's do it. And when you are almost out of your startup funds, and you’re a new faculty like this is not the top priority for where that funding goes.",82
"206","R1_2","30","30: I think it's ethically ambiguous, actually like, I think it encourages a lot of big labs to get a lot more views than little labs. And I think it's also I mean, we already sell our figures and our text to publishers period. So now we're paying them to do it. So I think it's ethically very odd. So I kind of try not to. And I try to just pre-print, because I'm uncomfortable with the current ethics of it.",83
"207","R1_2","34","34: I agree with all of that. Nothing more to add. All of that. Yes.",84
"208","R1_2","32","32: There are some smaller society journals. It's kind of a balance between like a less impactful journal that's open access and a more impact for a journal that's gonna cost $3,000 plus the open access fee which I don't have and don't want to pay. But you know it's like Neurobiology of Language isn’t indexed in PubMed and so then what are you even publishing there for? But it is free for people to access. So.",85
"209","R1_2","F","F: X, did you want to add something?",86
"210","R1_2","31","31: Oh well, some of what I was going to say it's already been been shared. And just yeah, I always wondered, even with for open access. I think we all have a problem with we're doing all this work, and it goes to other publishers, and it's not ours. And we don't get compensated for being authors or being reviewers. That's like a side thing I think we all struggle with. But then adding what X was saying, that we’re gonna pay for it seems like it shouldn't come on us. And then I think what some of you were saying there's different. I don't really know. You know, it's like there's all these open access journals popping up, and some of them maybe, aren't great. Or I've been, you know. We all get emails, and I've been warned. Oh, some of those are scams. They just want your money. Then it seems enticing, because they usually get published faster. And we all need publication. So again, just not really. Well, it's not really been an option for me, because my startup is running out, so I don't even have this money so, but I have thought about it, and wondered should I do it? And when I had the chance I didn't for kind of a mix of all the reasons that have been shared.",87
"211","R1_2","27","27: Yeah, I agree, I think, prioritizing it is questionable in my mind, because it's not clear to me what the payoff is at this point for science or for my career. like I I I get that, you know, tangentially, yes, it's better for everything to be accessible to everyone. But I just wonder how many more people would my article actually reach if it were gold open access versus if I am just, you know, telling everybody, hey, I'll email it to you if you email me.",88
"212","R1_2","33","33: That's a really great point. I think it would be really interesting to to being researchers to have data on how much of a difference it actually makes. I would be really interested to know that",89
"213","R1_2","30","30: The Nih also accepts preprints now in bio sketches and whatnot. So I really think the gold open access is losing its pull because it's like, why bother if NIH accepts a preprint as evidence. So I think it's an interesting future question.",90
"214","R1_2","28","28: I think some people are touched on this, and it's not a barrier of publishing per se, but like a drawback of some of these open access journals of yeah, we get the reviews very quickly. But there are a bunch of people in my department on a soap box about how these papers aren't worth anything, even if it's good science, right? Just because Frontiers, for example, yeah, it's open access. But anyone can get published there, right or whatever. So.",91
"215","R1_2","F","F: Thank you. Let's move on to factors that currently facilitate your ability to publish using gold open access or could facilitate your ability to publish using gold open access in the future.",92
"216","R1_2","29","29: Yeah. My current university is a subscriber to some of the gold open access options for certain journals, and so publishing through those is easier because the university picks up the tab. And so that is obviously a huge facilitator, because it doesn't come out of my own account.",93
"217","R1_2","27","27: Yeah, I would agree with that. My university also has an agreement with a couple publishers for gold open access, but none of them are big speech and hearing journals. So it's it. It's a potential facilitator, but it hasn't actually come to fruition yet.",94
"218","R1_2","29","29: I'll just tack on to that really quick, too. Because, yeah, we we've published in one, or we're in the process of publishing in one. But the time was so poor, like the timing, compared to non-gold open access that I don't even think I would use that route again, even though the university picks up the tab for it, because the time it took to actually get it published was atrocious.",95
"219","R1_2","30","30: My universities and R1, I think many of us here at our R1 or similar. And you have to apply for like an open access fund for not covered ones. But most of the publishers want the money within like 2 weeks of acceptance, and that is just not gonna to happen with getting funds from the university that fast. So the idea is nice, but the whole, like how it pans out is not so great.",96
"220","R1_2","32","32: Is there? I'm sorry this may not be relevant to the question. But is there a CSD specific open access preprint platform? Or are you guys just publishing on whatever the biology one is?",97
"221","R1_2","30","30: I do OSF. They have a preprint section that attaches to your project already, which I really like, because it's all in one place. But I think CSisseminate has some...they were thinking of doing a repository. Sorry if you guys already did that. I've not kept up. But otherwise I used to do PsyArXiv was the one that we did.",98
"222","R1_2","F","F: Yeah, I can say we don't. We don't have one, but a lot of us in the group do use OSF. Any other factors that could facilitate your ability to publish using gold open access.",99
"223","R1_2","27","27: I'll just bring in from our last question data that shows it's worth it would be a facilitator.",100
"224","R1_2","33","33: And I think, to X's point previously about this, like stigma kind of with some of the journals anyways. And I'm not even totally sure if that's true or not right? So like education about actually, you know what it means. And if it's a bad thing, right? Then how do committees look at like tenure committees look at that? Things like that.",101
"225","R1_2","F","F: Thank you. The last open science practice we'll discuss today is open data. Open data is the process of publicly sharing research data and or resources needed for data collection, such as methodology, protocols or software packages. Open data is typically made available on online repositories. What do you perceive to be barriers to the open data process?",102
"226","R1_2","28","28: I think that it was X who said this before about like having to clean up your data, your protocol or code, or whatever it is that you have created for yourself. Yeah, lots of internal notes that makes sense to me, but would look really ridiculous if I put them out for everyone to see. So just knowing, like a a kind of general good format for these things.",103
"227","R1_2","27","27: Yeah, I echo that.",104
"228","R1_2","30","30: Ours has been the IRB just changing what it interprets as shareable versus not like having we didn't used to have to get explicit yes’s to X's point earlier of sharing Xyz. Now it's explicit yes, which is what it should be. But they've just changed, you know, having to require that. And then, if you're like, I collaborate with tons of universities. So then you have to set up a data sharing agreement which goes through legal, which takes three months to do and so you've just got some locality attached to it, too, and it slows everything down, and or you just don't pursue it.",105
"229","R1_2","29","29: The moving target nature of the IRB also plays a role and and in the specifically with with what level of data you want to share. So we haven't run into any issues sharing like derived acoustic measures, and data of that form. But I'd love to be able to share speech samples actual, you know, audio recordings? And in some institutions, one of my previous institutions that that itself is considered personally identifiable data, just the audio recordings of speech. And that's not the case everywhere but even at institutions where it's not the case, I think making sure to incorporate that and make it really transparent to participants for example, that that's one of the goals is is just...There's just a lot of issues wrapped up in how to do that ethically from both an open science practice and working with with individuals who you're asking to participate in these ways.",106
"230","R1_2","F","F: Thank you. Let's talk about the facilitators. What factors currently facilitate your ability to use the open data process or could facilitate your ability to use the open data process in the future?",107
"231","R1_2","32","32: The main imaging group that I work with at  is really big, and I think they have the power to...I wouldn't say like overcome the IRB, but I think they have the power to request more lenient rules from them, then the rest of us do. And so then we're all able to kind of slide it under that, using their platform which is nice, especially for MRIs. De-identified MRIs.",108
"232","R1_2","33","33: I think it would be really helpful to have some examples of IRB language that's worked for other people. I know. I mean, obviously, they're all different. But you know, just some ideas of things that can get you started.",109
"233","R1_2","28","28: Yeah, I I agree with that completely. Right now, we have the IRB approving for putting things open if we have consent from the participant for a neurotypical group of young adults. I don't know, like we had trouble even getting our IRBs through for people with aphasia, because who can consent if you have a language disorder, and so then the like if I had that much trouble, just getting a basic behavioral study through, will I also never get an IRB be approved for people with aphasia to consent to have their data open. So that this is yeah been the main problem, and especially for speech production stuff like...numbers like a my eye tracking study where we have on OSF, it's just numbers. There's nothing identifiable. There was no question that we could put that up there. But with MRI or production, or EEG, or like anything that could, I mean, EEG not. But yeah.",110
"234","R1_2","33","33: The good point too I guess, this goes back to barriers. But having had the experiences we've had with IRB and data sharing, it does feel very daunting to to try to get something like this through when you've had such hard and challenges with it in the past. Right? so I don't know. Sorry. That's not really. There's no facilitator in there, but I think it's a good point.",111
"235","R1_2","27","27: I think, having people who are more senior in CSD support junior people's effort to practice open science would be helpful. Like, I'm in a department where literally everyone has been here for over 20 years, and none of them are doing open science because they don't. They don't need it. They they don't perceive that it's important. And so it feels like, even if I were to like intrinsically be motivated to do it, there would be barriers, because I don't have the support of the senior people around me. And also just having someone to look at as an example. You know, to say, this is what they did. I think would be really helpful.",112
"236","R1_2","30","30: Yeah, this is fresh in my mind, because I'm like deep in doing this right now, but like the tenure process doesn't care, they literally don't care. And so there's no incentive there whatsoever like never have I been asked about it, Like I make a specific section about it that I've been told to cut by multiple people which I'm not going to do. But it's not incentivized terribly well. And I think many of us, you know, it's like we're not. That's not the end goal is to know, you know, do this to receive tenure. But it's it's very not helping. When you're, you know, trying to choose what to spend your time on.",113
"237","R1_2","27","27: Yeah, I will say, though, my, my college just changed our tenure guidelines, and we do have a a new part in there that talks about, you know. Please mention if you were practicing open science because we think you know, as a college, we would like to move towards open science practices. So maybe some systemic level change there from the powers that be, who, you know, dictate the tenure process would be helpful in supporting people who want to spend their time doing that to demonstrate that it's worth it.",114
"238","R1_2","F","F: Thank you very much. For just for the sake of time I'm just gonna move us on to our last couple of questions here. You all are kind of hitting on some of these things already. What impact do you think open science practices could have on the field of communication sciences and disorders? And here you might consider both research and clinical practice.",115
"239","R1_2","32","32: We have a very large research practice gap in our fields. And I think I'm under the impression, at least for my students, that they don't know that they can access AJSLP or JSLHR with their as a membership. They think they still have to like pay for individual articles. So removing that step for clinicians would be very important, I would think in improving that gap.",116
"240","R1_2","28","28: That's a really good point. I had an undergrad student who found an article by another faculty member in our department that she paid $40 to read, not realizing that she had other options so like having things open, having it clear that these things can be accessed. Having protocols available that can be implemented in clinical practice. All of these things would. I mean, presumably, lead to more research and more direct translation from the Academy to the clinic.",117
"241","R1_2","30","30: Yeah. And ideally less bias, too. Right? It's not just research coming from these huge well-funded labs, all of which tend to, I mean in the past, in CSD been funded by white males who've been in the in the field for a very long time. So I think it would be nice to just reduce the bias related to that and actually make the evidence wide reaching.",118
"242","R1_2","34","34: I agree with that 100%. Well said.",119
"243","R1_2","29","29: I think there's a lot of benefit to making raw data openly accessible in our field to back to X’s point earlier, about a lot of us have small n's and more access we have to larger data sets, we can, you know, we can ask bigger questions and make broader generalizations. And be more targeted in our research questions. And I think that's a hugely important direction for our field to take. But it. It requires our ability to access other other data sets in order to leverage that power.",120
"244","R1_2","27","27: Yeah. And I think that would facilitate the research to practice pipeline as well, because so many of our small n studies we’re like, yeah, but this is limited to this, you know, tiny subset of the population where, as if you could pull from from multiple data sets, it would be easier to generalize your findings to clinic.",121
"245","R1_2","F","F: What impact do you think open science practices could have on your own career? If any.",122
"246","R1_2","32","32: I think it would actually help recruitment. I think the more that your research seems applicable and interesting to clinicians, the more likely they are to refer to you. And if we have these kind of esoteric article titles with articles that the clinician can't access, they're not going to be very inspired to send their participants to you.",123
"247","R1_2","30","30: I've had a ton more collaboration since starting open science, because people see exactly who I work with. What the codes that we use are what people are interested in. And it's just organically made more collaborations happen for us. So that's something I've been really excited about.",124
"248","R1_2","28","28: I think, too even if the collaboration doesn't follow having more access, having more people able to access my work and having it be easily accessible has meant that my open access papers are cited more frequently than my not open access papers. Anecdotally. I haven't actually crunched those numbers, but it seems that way.",125
"249","R1_2","33","33: It seems like adding these extra steps of making what you do available to other people could improve the rigor of your own work. I mean it. It would make me think more about what I'm doing before I post this for people to see which I think is a good thing. Maybe makes us a little bit more accountable. I mean to ourselves even just right? By having, knowing that people are going to look at this.",126
"250","R1_2","F","F: Alright what did we, miss? Are there any other comments you'd like to make about using open science practices, anything related to open science? I see we're right at our time, so please, if you need to jump off, go ahead and jump off. If you have any final comments. I'm here for them if you want to share anything else related to open science. Alright. Thank you so much for your participation today. This was a fantastic discussion, and I hope that you feel like you learn something from others. I sure learned a lot from you. We hope you found this discussion really interesting, and you've shared some really valuable information with us, and we're really appreciative of your time. If you have any questions about the study after today, please feel free to send me an email.",127
"251","nonR1_1","F","F: So first, as an introduction, open science refers to a collection of research practices that aim to increase the accessibility, transparency, and replicability of science. So, what experiences have you had using open science practices? If any.",1
"252","nonR1_1","1","1: I guess I could start. I've done a little bit of self-archiving and keeping track of like what the rules of the different journals that I've published in are so like tracking embargo periods, and knowing what versions I can post, where. I have some on a personal website. I’m relatively new to my university. So I don't. I'm not completely aware of what kind of institutional repository options are available to me, but I have definitely used the CSDisseminate resources before. ",2
