"","Subcategory","RQ","axialCode","initialCode","codeName","definition","N","Examples"
"28","","N","B-OM","B-OM","Barrier - Open Materials","Participant describes a barrier related to open materials",4,"The only problem I've had with that is recently I submitted to a conference where they required double blind review. And then it's kind of not possible to ha...I don't know how to do the double-blind code because there was no way to upload it, so we just didn't include it. But I felt like that was kind of a missed opportunity. So, if people know and have dealt with that, I'd love to hear that. // And then, actually, in my Phd program, I learned how to use GitHub. But my PI didn't use R or anything like that. And so then it became more of like a niche for me, and no one used it, and so I haven't used it for a while. But I need to get back to it as I am starting to do a lot on my own. // So for example, I I I know the mechanics behind getting you know a paper up<P>before it's formatted by the journal for post prints or pre prints, and I know the mechanics of putting my code up on OSF and making it available. But I feel like all of that takes a lot of additional time for me. Making sure that even if it's not the final formatted version of a paper, it's still in a format that I feel really confident is very, very, very close to what's gonna finally get published. // And for code I haven't figured out how to do that efficiently, because my code is always a slew of comments to myself that I don't necessarily want on...accessible to everyone. More just because it's very informal to me. And so there always feels like there needs to be a cleaning step which just feels unnecessary, but also necessary."
"29","","N","B-OPR","B-OPR","Barrier - Open Peer Review","Participant was concerned about open peer review process",2,"I was asked to be a reviewer on an open review, and it was for a researcher who I deeply respected, but who scared me, and I decided I did not want to do it, because I didn't want her to, you know, even though I’m sure the review would have been pretty positive. I just didn't want her to associate me with criticizing her work. Granted, she was very senior, and I was a postdoc at the time. // But also there's just this huge power differential there. And I wouldn't be able to review for some of the people that I review for, if they knew it was me reviewing for them"
"30","","N","B-OS","B-OS","Barrier - Open Science","A barrier to engaging in open science (specific practice not specified)",11,"but because my university is not a research focused university, I don't think open access for research is as much of a concern. Especially because our tenure and promotion expectations are going to be lower because we're not a research focused institution. // and you know, as a pre- tenure assistant professor, I'm also very conscious of making sure that that I have data to publish, and making sure that I'm not just looking negative in any way to potential publishers. And unfortunately, that's just the reality of it. // Because I really do feel often that I am fighting a fight without the support of the librarians that that would be so beneficial to me. Which person do I need to talk to? To talk about the open data processes within my institution. Which person do I need to talk to? For. Yeah. You get the idea. // Like I'm at an R2 institution. So we're...and I’d done my PhD in an R1, and I found that just that little change in category makes a huge difference in what's available to us, as far as knowledge and process and procedures // And so I've been finding that in order to learn more, it requires a lot of self study, and then, of course, finding the time and the bandwidth to move that item up on the priority list is always so challenging, although I really value it so it's it's been a bit of a struggle personally. // it requires a lot of time investment to to get the process right. So it does also have this sinking cost in in your, in your tenure track. And I, yeah, I I I'm definitely on the fence, when, at the moment, I feel like that requires a lot more support than I have already had. // I mean, I'm sure we'll get into some of this, but so overwhelming to think about where to start with these things right? // It's a really good point, yeah, about making...or how to make your practices efficient and work for because it does just feel, I mean, at least at this point for me feels like this extra big step that is like, how do I even do this with everything else going on? // Like, I'm in a department where literally everyone has been here for over 20 years, and none of them are doing open science because they don't. They don't need it. They they don't perceive that it's important. // And so it feels like, even if I were to like intrinsically be motivated to do it, there would be barriers, because I don't have the support of the senior people around me. // Yeah, this is fresh in my mind, because I'm like deep in doing this right now, but like the tenure process doesn't care, they literally don't care. And so there's no incentive there whatsoever like never have I been asked about it, Like I make a specific section about it that I've been told to cut by multiple people which I'm not going to do. But it's not incentivized terribly well. And I think many of us, you know, it's like we're not. That's not the end goal is to know, you know, do this to receive tenure. But it's it's very not helping. When you're, you know, trying to choose what to spend your time on."
"31","1.6 - Attitudes","1,2","B-PC","B-PC","Barrier - Poor Credibility","Participant beleives a barrier to open access journals is that they have poor credibility, appear to be scams, or offer a quick & dirty publication for a fee, general stigma around OA journals (E.x., predatory journal)",3,"You know, it's like there's all these open access journals popping up, and some of them maybe, aren't great. Or I've been, you know. We all get emails, and I've been warned. Oh, some of those are scams. They just want your money. Then it seems enticing, because they usually get published faster. And we all need publication. // I think some people are touched on this, and it's not a barrier of publishing per se, but like a drawback of some of these open access journals of yeah, we get the reviews very quickly. But there are a bunch of people in my department on a soap box about how these papers aren't worth anything, even if it's good science, right? Just because Frontiers, for example, yeah, it's open access. But anyone can get published there, right or whatever. So. // And I think, to X's point previously about this, like stigma kind of with some of the journals anyways. And I'm not even totally sure if that's true or not right? So like education about actually, you know what it means. And if it's a bad thing, right? Then how do committees look at like tenure committees look at that? Things like that."
"32","1.4 - Inequality","1,2","B-PD","B-PD","Barrier - Power Dynamics","Power dynamics as a barrier, e.g., senior researcher knowing who reviewed them in peer review, a reviewer rejecting work in the peer review process",3,"I was asked to be a reviewer on an open review, and it was for a researcher who I deeply respected, but who scared me, and I decided I did not want to do it, because I didn't want her to, you know, even though I’m sure the review would have been pretty positive. I just didn't want her to associate me with criticizing her work. Granted, she was very senior, and I was a postdoc at the time. // But also there's just this huge power differential there. And I wouldn't be able to review for some of the people that I review for, if they knew it was me reviewing for them // And, you know I have been in a situation where we preregistered the protocol, and also published the protocol for something, and I mean a peer viewer should have recused themself but they tried to to deny the article or reject the article because they were doing something similar. So it was kind of a weird situation, and so that kind of left a bad taste in my mouth."
"33","","N","B-PR","B-PR","Barrier - Preregistration","Barriers related to PR",26,"it's been an interesting experience actually having to stick to those rules and and convincing everyone on the team that right, like there's a reason that we're doing that // I feel like I don't know what to pre-register like I feel like my studies aren't big enough for important enough or using the right methods to preregister. // Not knowing where to preregister them is one. And concern that my methods and analysis plan will need to shift between preregistration and publication. // For me it's time. I'm I have a pretty large teaching load, and it's for me sometimes it's like it's one more thing, and if I put something out there, someone I so right now I teach a 3-3 in the fall, because I just got tenured. I will now teach a 4-4, and when I put something out there a a big lab could could do that. Would I what's gonna take me as somebody with a big teaching load with a 4-4 is gonna take me over a year. Somebody's got a lot of resources. It's gonna take them a couple of months, and for me sometimes it's just it's that was my idea, and not that I'm i'm scared of being beings scooped, or whatever. But it's the fact that I don't have as much time and resources, being someone with a high teaching load at a very teaching focused university. So that's that's part of it is the the time factor, and that that concern to be honest. // I also teach a 4-4, or I do teach a 4-4, and I feel like I have enough time. I have a really tough time carving out time for research as it is. So adding an additional step to the research processes like I said, it's going to make it less likely that things get done, and I'm having enough of a tough time getting things done, as it is. Also, sorry I didn't mean to cut somebody off. I just<P>maybe I just have imposter syndrome or something, but I also don't feel very confident in develop...I obviously I have a PhD. Like, I know how to sort of develop research questions, hypotheses, methods, and an analysis plan. But I I again feel very anxious putting it out there for everybody else, especially like before I'm finished with it, because I feel like I might have missed something, or it just gives me a little bit of anxiety because I still don't feel super confident. // I defended my dissertation a year ago. For me research is still a learning process, and without being the most recent big research that I did. My methods changed mid-dissertation. My analysis plan changed mid-dissertation. I know that's poor quality, because, you know, obviously I should have all of that outlined ahead of time, and I should be held accountable to following those, you know, procedures. But I just still feel like, hey, I'm a lousy researcher. My plan A probably isn't going to work out. You know. How do I shift away from something if it's preregistered and written in stone? // What everyone saying is making me realize that I think the biggest barriers is that we just aren't used to doing it. We don't know what we're doing, and we haven't been trained to do this this isn't how we've been taught to do research our entire, like. I think I'm kind of maybe on on the older end like I finished my, I started my PhD in 2006. I won't say when I finished it, but because it was a long time. But you know this wasn't how we did research. What we did is, we would kind of come up with our analysis plans, you know, as we're going along. And and you know which is yeah, maybe that's not what we're supposed to do, but that's kind of how I was trained to do it, you know, and it was like, oh, let's do a post. We even called a post hoc. It's like, oh, this correlation looks interesting. Let's see right? So there's something kind of scary about coming up with an analysis plan and sticking to it ahead of time. And like I said, I'm doing this for the first time right now. And it is it's interesting how I'm working with these two people, and I have one person who is not comfortable sticking to what we said we are going to do, and this is a very famous person in our field who is very well established. But this is just like not what we've been, how we've been trained, you guys, and so it's not that we're bad researchers, or you know that are stuff is not important enough. I was thinking about what you're talking about with time time, X, cause theoretically, this saves us time right, because, like you, you know, like you come up with what you're going to do, and you know. // It's just this is so antithetical to how we've been doing research forever. I think that's what I feel like is the big barrier, you know. // : Yeah I mean, it goes back to what someone is saying about like you're not sure what you're gonna do with the stats like. You might make some statistical decision, and it's not the right one.  // I do a lot of qualitative work, and, like your research questions can change once you have started analysis, so I feel like the rules become even less clear, and that makes it harder to preregister qualitative studies // So I I'll I'll. My contribution is really short. It's just honestly my own organizational practices are the biggest barrier for me preregistering. // It's kind of the vulnerability of posting your ideas before you've done this study. // But I agree with the previous comment that just getting yourself organized and put together like even writing the preregistration can take weeks to get yourself set up and ready to go // If there's any changes from your preregistration, and you're writing it in your manuscript, you tend to have to take the space to then explain that the differences between what you preregistered and what actually happened. So, depending on word count and things like that that could potentially be a barrier. // because right now I feel like I'm I lack the motivation to do right preregistration, because it's not something that is, looked for, say, in my promotion or tenure reviews, and it's not valued by my university. // But having to duplicate that work. You know, I don't have time for that, as some of you've already said, // I know that we tried to publish like, trying to put something and register some...a couple of manuscripts, but it didn't happen because it was taking away time from the actual manuscript // I guess. To me, I mean this isn't a direct answer to this question, but I'm not really sure what the benefits are of preregistering my study. So I think I I need to have a better understanding of why it's beneficial to do that before putting the time into figuring out how to do that. // I I think, like with so much of getting your research program up and running as a junior investigator is just time. Time and and manpower. You know a lot of us have students, but it takes a while to get them trained. And this seems like something that would require some training from the PI if a student was going to assist with it. But yeah, I I I would. I would agree with X that if you don't necessarily see the benefit, then why why, invest the time in doing this. That that's what I would see would be the barriers, the manpower and the time investment. // Our biggest barrier, is to X's point time, when to do that, and when to submit it // but it's mostly just the time aspect of getting it in. // We struggled with the actual process of putting the the protocol up on OSF. We found it really confusing about what kind of project or document we were putting up and ended up with two different projects, I guess. Then one of them you could change one of them you couldn’t, and when you can find XX and one you can't. And so it was really hard navigating Open Science Framework by ourselves, even with the help of our librarian. So that's been a big challenge for us. // I'll just echo that time has been a factor. And then, I think, like some sort of amorphous concern that putting it out there. And I I think this is probably something that's not grounded in any sort of reality. But like that, putting it out there will give somebody else the idea to then run away with my project. That isn't really the main barrier. It's just kind of like this back of my mind kind of thought. But mostly it's time, confusion about how to do it, what details I need to have, how much detail to go into, those kinds of things. And some of it, too, that's been, probably there's probably real easy to find answers for this. But, like the analysis plan, do I need to have<P>alternative analyses if, like, my data don't need the assumptions for the first proposed analysis, like how much detail. // For me it kind of feels like more of a change in mindset that needs to happen. I think of like, why this is important, and that I should spend the time on it. Because if I'm being totally honest that, you know, because I wasn't trained, none of us were trying to do this. And so it does feel like this big thing to add on to the beginning, or wherever in your project // I also, I guess I kind of have this concern. It's like a cooks in the kitchen concern. Because you never know if the reviewers that you get for your pre registration are going to be the same review as you get for your grant. And so then, when you need to go, submit your, resubmit your grant, you've now had to modify, based on two different sets of reviewer feedback. // It's not clear that right now that the time that is required to do all this stuff actually helps us at this stage."
"34","1.9 - Resources","1,2","B-R","B-PT","Barrier - Publication Timeline","Participant perceives the timeline for publication in an OA journal is very long, and is a barrier for publishing in OA journals.",1,"Because, yeah, we we've published in one, or we're in the process of publishing in one. But the time was so poor, like the timing, compared to non-gold open access that I don't even think I would use that route again, even though the university picks up the tab for it, because the time it took to actually get it published was atrocious."
"35","1.9 - Resources","1,2","B-R","B-R","Barrier - Resources","Participant expresses they have a lack of or limited resources to engage in an OS practice (either directly from their institution or broadly). Not money!!",13,"But it's the fact that I don't have as much time and resources // We don't have a really robust lab website. I don't have a personal website, // I tried to write funds for open access, publishing into my startup, and I was denied so. But I guess that would be a barrier, but it would have helped.  // Because I really do feel often that I am fighting a fight without the support of the librarians that that would be so beneficial to me. Which person do I need to talk to? To talk about the open data processes within my institution. Which person do I need to talk to? For. Yeah. You get the idea. // I would add that that the funding is a huge issue. Specifically, when you're not in an R rated institution right? Because we don't have research assistance. We don't have lab space. We don't have let alone, just flat out cash to pay for an open access readership. // But you know I I am at an institution that it's an R2, specifically, and the vibe here has always been uou pay for it yourself. // I know my library also has that, but the money is distributed equally between authors. So if there's three authors on my paper, my library is only going to pay for the one-third for me, and then the other 2 thirds, even even if I'm first author, then the other 2 thirds need to be covered by someone else. So that makes it a little bit difficult at my institution. // As as supportive as our library is our ITS is maybe not so much so. We don't have access to some of the the programs like. Of course, now I can't think of it. We have Qualtrics, but we don't have what's it called? Red Cap. Thank you. Because they have some concerns about you know, anyways. So that's been the the bane of my existence recently, but just having access to some of those database programs as well. // Time and and manpower. You know a lot of us have students, but it takes a while to get them trained. And this seems like something that would require some training from the PI if a student was going to assist with it. // That that's what I would see would be the barriers, the manpower and the time investment. // The the amount of work that you put into this need also to be supported by resources. It's time, and it. // I'm definitely on the fence, when, at the moment, I feel like that requires a lot more support than I have already had. // And so it feels like, even if I were to like intrinsically be motivated to do it, there would be barriers, because I don't have the support of the senior people around me."
"36","","N","B-RV","B-RV","Barrier - Reviewers","Participant expresses that they have concerns about integrating reviewer feedback  into an OS practice (e.g. needing to edit preregistrations based on different sets of reviewers)",1,"I also, I guess I kind of have this concern. It's like a cooks in the kitchen concern. Because you never know if the reviewers that you get for your pre registration are going to be the same review as you get for your grant. And so then, when you need to go, submit your, resubmit your grant, you've now had to modify, based on two different sets of reviewer feedback."
"37","","N","B-SA","B-SA","Barrier- Self-Archiving","Participant discusses a barrier they face that prevents them from self-archiving or makes it difficult to self-archive",27,"5: I think the biggest one is just knowing like when it's allowed. If you know, if it's not really clear in the journal if that's okay, then that's the biggest barrier for me. // 4: I agree. I'm. I'm nervous about it. So, for example, on Research Gate, I I will if someone messages me asking for a copy, I always send it to them, but I don't make it publicly available just because I don't want. I don't know if journals are on Research Gate looking for academics to sue or whatever. But I don't want to find out. So that I think just the fact that each journal has very specific requirements makes me nervous. So I think I'm comfortable sharing the the Pub Med, you know version, if that's available, for if it was an NIH funded study, but otherwise I I am a little...makes me nervous. // 8: I do a lot of work as second author and third author, and that kind of thing. So I you know I need to get consent from the other authors. At least I feel like. But then often I'm depending on them to send me the accepted manuscript. And either they don't get around to it, or don't feel like it, or they're not on board, so that's been a barrier that I've encountered. // We don't have a really robust lab website. I don't have a personal website, so it just seems like there's multiple steps that even if I got something published which I don't have many publications. So that's part one is the issue that again, the time to have manuscripts that I can publish and self- archive. But then the process of like creating the the website or the repository, or wherever it's going to be. It just seems like there's multiple steps, and none of them are pressing, and I don't know about anybody else, but I really respond well to deadlines and pressure, and so this never has a deadline or pressure, so it's never at the top of my list. // No, just I I don't know what I'm allowed to do, and I like...every journal has different rules, so it's not even like I can just say like, oh, I'm allowed to do X. Because ASHA has a different rule compared to you know, Clinical Linguistics and Phonetics, and I just. I just don't wanna get sued for sharing my own work that I that I worked on it's a little bit ridiculous that we're not allowed to share our own work. // I tried to put up free, legal versions of previous manuscripts on my department website, but was told that I had to adhere to a particular format that didn't allow for publications to be posted on there. So, as it turns out, I wasn't able to. // Because that's kind of been my limiting factor, and just again making sure I I do it right, and I kind of protect myself pre tenure. // And I would love to hear that from a publisher standpoint. I would love to hear from. You know someone who who does work for a peer-reviewed publication to say, this is okay, this is not. Because that's kind of been my limiting factor, and just again making sure I I do it right, and I kind of protect myself pre tenure. // I agree with that. I would also say that the self-archiving piece always kind of makes me worry that someone mentioned previously about which version you're going to put out there, and I'm always really nervous unless I have an open access paper that I paid for. I know I can put that anywhere, but if it's not open access like which version can I put up individual independently, because I don't want to like have to go to court because I did something wrong. I'm probably catastrophizing it, but that for me. // It kind of came up earlier, but just keeping track of what versions are allowed for which journal. And every time I look into, you know, dig into the requirements for the journal, and I pull up the page, and I use the site that you can search for requirements. And still, it's really confusing to me. // I think this also came up earlier, but just having the time also to make a personal website. Some like, I think it was X who mentioned that that there's some, you know, formats. The university has a special format of how they want you to have your profile set up on the University website. So there's limitations to perhaps what can be posted there.<P>So yeah, I I did make myself a personal website, and it does take a lot of time and work, and<P>kind of wonder if it's really, you know, worth it. But that's that's my main area. // The other element of this is that I am at a university that is a regional campus of a flagship state school. And so there's department, college, university here and then there is what we jokingly refer to as the mothership downstate. And then there's all of their rules. And so I just need to understand, like for me, facilitating this process would be. I need to figure out what is my hierarchy? Who do I talk to? How do I get this all figured out?  Which could be a me problem and it's not something that everyone else deals with. But...it's...there's just a lot out there. Of like layers. // Yeah, to kinda to follow up to that comment. In I think my first year of my faculty position I was really motivated to self-archive, and have, you know, really accessible on my website a list of all of my manuscripts that are available. And so, I had a grad student take some time, and you know, figure out the requirements to the best of her knowledge, and tell me which copies of things. And so then I went to the person who manages the faculty websites, and said, hey, I want to do this thing. It's this movement within the field to be more transparent, open. And she said. Oh, well, a lot of faculty end up forgetting to update their manuscript list, so we just don't allow them to be posted at all. So like well, you know. So that was just one example of trying to put in the work and then meeting resistance due to all of these layers, and figuring. Well, you know. This should be a straightforward thing. But there's all these things that make it difficult to actually implement. // It's just been something that's been pushed to the bottom of the To Do List for kind of a long time, because it's really time consuming to go through all of those old papers and figure out, where is that final version of the accepted manuscript? And like figuring out the different things for different journals. So it's really just been sort of a time limitation that's kind of prevented me from following through on doing that at this point, even though I'd like to. // Well, I kind of mentioned this earlier, but I, to me the biggest barrier is time especially going backwards. Both the time to figure out which version, if for each article or each journal is legally allowed to be shared, and then finding that version and posting it somewhere, and that is not a small time investment in that. So that's been, to me, the biggest barrier. // I would say IT support to get everything up on our University affiliated website. So making sure like, because I can't post directly to my my like University website. It has to go through our IT team. So that's sometimes super efficient. And other times really not. // For me, understanding what are the things that I need to legally look out for, and just kind of making sure that it's all good before I do it. So that's kind of where I’m at. // Well, the only barrier is what what what the University's policy is. // But, there's so many people interested in it that the waitlist is very long, and we it's been like 8 months now, and I still haven't been contacted for that. // Yeah, I agree also even after the CSDisseminate talk about self archiving, we still, in the in my lab, are struggling to find the rules for each publisher, and it seems like every time we look they are a little bit different. So that's been a really big challenge. // So for example, I I I know the mechanics behind getting you know a paper up<P>before it's formatted by the journal for post prints or pre prints, and I know the mechanics of putting my code up on OSF and making it available. But I feel like all of that takes a lot of additional time for me. Making sure that even if it's not the final formatted version of a paper, it's still in a format that I feel really confident is very, very, very close to what's gonna finally get published. // I don't have access to my website. It's run by the PR at the university. And it's just, you know, six extra emails for me to get the paper up there. Per paper.  // And so then I get confused about like, well, where can I put these that they will be findable through the one avenue I've given people to find my work. // The lack of control of the university run website is a big barrier. I am able to put links on mine but I have to go through our department administrator, who isn't very tech, savvy. And so that is a huge barrier for me. // The barrier for me is the legality as we talked about before, and you know, what are you allowed to do when you're not allowed to do? That's really the barrier for me. And I guess so I guess time is a little bit, because the time that it takes to look into all of that, and then trust that I understood it right. I guess that I guess that part is maybe a time barrier. But really it's it's more about not having the knowledge of what we can and kind of can't do, and where. // I think the time element resonates for me. But in the stage of preparing whatever I have<P>to make freely available. So, for example, some journals require that you submit the figures as separate attachments, and so then they appear at the end of the manuscript. As a reader I really don't like reading things that way. So I do want to take the time to put the figures and the captions and the tables in where they would be. But again, that feels like this extra set of steps. And then there's other, you know, versions of that same sort of dilemma of how much modification to make to something, just to make it freely available. Not just to make it freely available. That's very important. But if I'm just trying to get it closer and closer to what the final published version looks like it...Right? It it's again this sort of time-effort trade off. // I do think that that's a barrier is<P>being nervous about doing it wrong."
"38","1.3 - Study components","1,2","B-SD","B-SD","Barrier - Study Design","Participant describes how they perceive a part of their study design to be a barrier to adopting OS practices",4,"I feel like I don't know what to pre-register like I feel like my studies aren't big enough for important enough or using the right methods to preregister. // I do a lot of qualitative work, and, like your research questions can change once you have started analysis, so I feel like the rules become even less clear, and that makes it harder to preregister qualitative studies // I do a lot of mixed methods work, and especially in the qualitative portion. I'm worried about that as well. I'm worried that you know the more my participants share, the harder it's going to be to completely de-identify them, and I don't want my participants to have to worry about you know, the what they share in the interview. I don't want them to have to be concerned about like over-sharing or giving me too much information. // I don't know, like we had trouble even getting our IRBs through for people with aphasia, because who can consent if you have a language disorder, and so then the like if I had that much trouble, just getting a basic behavioral study through, will I also never get an IRB be approved for people with aphasia to consent to have their data open. So that this is yeah been the main problem, and especially for speech production stuff like"
"39","1.9 - Resources","1,2","B-R","B-SL","Barrier - Storage Limit","A barrier to participating in OS (ex. posting open data) is the storage limit of the platform/resource they are using",1,"But for some of the platforms, they don't give you that amount of storage limit. Which is kind of a limit for some of them. So that's something I can...as I'm learning the process. I feel like I'm still trying to figure out which would be a good platform kind of, for sharing the data"
"40","1.9 - Resources","1,2","B-R","B-T","Barrier - Time","Participant expresses they dont have time or that it takes additional time to engage in a specific OS practice",38,"For me it's time. I'm I have a pretty large teaching load, and it's for me sometimes it's like it's one more thing, and if I put something out there, someone I so right now I teach a 3-3 in the fall, because I just got tenured. // But it's the fact that I don't have as much time and resources // So that's that's part of it is the the time factor // I also teach a 4-4, or I do teach a 4-4, and I feel like I have enough time. I have a really tough time carving out time for research as it is. So adding an additional step to the research processes like I said, it's going to make it less likely that things get done, and I'm having enough of a tough time getting things done, as it is.  // So that's part one is the issue that again, the time to have manuscripts that I can publish and self- archive. // I feel like time is such a barrier, you know. Just one more thing to do // taking the time to do that on top of everything else we have to do is faculty, I think. I mean, I think time is a big barrier too with anything that's not required it. It gets pushed and pushed and pushed with everything else that you have to do kind of prioritized. // And as part of my postdoc, like I had, I was the one who had to format the data for that thing. And it was it was horrible like, and I know we kept. They kept coming back. It was not formatted correctly like, and I had the time like that was like part of my job then. But I would. That is a barrier to me right now. I like would never want to do that again, because you know it, it was just who's going to do that? It took so much time. So yeah, time is a huge one // But I agree with the previous comment that just getting yourself organized and put together like even writing the preregistration can take weeks to get yourself set up and ready to go // But having to duplicate that work. You know, I don't have time for that, as some of you've already said, // I think this also came up earlier, but just having the time also to make a personal website. // So yeah, I I did make myself a personal website, and it does take a lot of time and work, and<P>kind of wonder if it's really, you know, worth it. // I think also in terms of protocols or more of like my R syntax, or something like that, is taking the time to clean it up. Rather than like the shorthand that it's currently in to be able to make it readable by someone else, just taking the time to to clean it up and make it public facing // I know that we tried to publish like, trying to put something and register some...a couple of manuscripts, but it didn't happen because it was taking away time from the actual manuscript // It's just been something that's been pushed to the bottom of the To Do List for kind of a long time, because it's really time consuming to go through all of those old papers and figure out, where is that final version of the accepted manuscript? And like figuring out the different things for different journals. So it's really just been sort of a time limitation that's kind of prevented me from following through on doing that at this point, even though I'd like to. // But I I do feel like there's a big learning curve and time commitment associated with figuring it all out. // And so I've been finding that in order to learn more, it requires a lot of self study, and then, of course, finding the time and the bandwidth to move that item up on the priority list is always so challenging, although I really value it so it's it's been a bit of a struggle personally. // So as the need like...I would love to say I would attend a webinar. But the honest truth is, I likely don't have the time to figure out how to make that work. // I I think, like with so much of getting your research program up and running as a junior investigator is just time. Time and and manpower. // That that's what I would see would be the barriers, the manpower and the time investment. // Well, I kind of mentioned this earlier, but I, to me the biggest barrier is time especially going backwards. Both the time to figure out which version, if for each article or each journal is legally allowed to be shared, and then finding that version and posting it somewhere, and that is not a small time investment in that. So that's been, to me, the biggest barrier. // But also make it less time and effortful, effortless?  // That's the the description of your whole experimental design takes time. // You you don't want people to misunderstand what the data was for. So there there need to be metadata. That's you. You spend time to create and clarify.  // The the amount of work that you put into this need also to be supported by resources. It's time, and it. //  the paperwork it takes to get access. And to upload data was very lengthy, at least for me as a user just as a user I I didn't even upload my own data. I wanted to get access to a shareable data on the website. It took forever, just to get all the paperwork done so.  // it requires a lot of time investment to to get the process right. // So for example, I I I know the mechanics behind getting you know a paper up<P>before it's formatted by the journal for post prints or pre prints, and I know the mechanics of putting my code up on OSF and making it available. But I feel like all of that takes a lot of additional time for me. Making sure that even if it's not the final formatted version of a paper, it's still in a format that I feel really confident is very, very, very close to what's gonna finally get published. // Our biggest barrier, is to X's point time // but it's mostly just the time aspect of getting it in. // I'll just echo that time has been a factor. // But mostly it's time // It's not clear that right now that the time that is required to do all this stuff actually helps us at this stage. // And I guess so I guess time is a little bit, because the time that it takes to look into all of that, and then trust that I understood it right. I guess that I guess that part is maybe a time barrier. // I think the time element resonates for me. But in the stage of preparing whatever I have<P>to make freely available. So, for example, some journals require that you submit the figures as separate attachments, and so then they appear at the end of the manuscript. As a reader I really don't like reading things that way. So I do want to take the time to put the figures and the captions and the tables in where they would be. But again, that feels like this extra set of steps. And then there's other, you know, versions of that same sort of dilemma of how much modification to make to something, just to make it freely available. Not just to make it freely available. That's very important. But if I'm just trying to get it closer and closer to what the final published version looks like it...Right? It it's again this sort of time-effort trade off. // My universities and R1, I think many of us here at our R1 or similar. And you have to apply for like an open access fund for not covered ones. But most of the publishers want the money within like 2 weeks of acceptance, and that is just not gonna to happen with getting funds from the university that fast. So the idea is nice, but the whole, like how it pans out is not so great. // And then, if you're like, I collaborate with tons of universities. So then you have to set up a data sharing agreement which goes through legal, which takes three months to do and so you've just got some locality attached to it, too, and it slows everything down, and or you just don't pursue it. // That's not the end goal is to know, you know, do this to receive tenure. But it's it's very not helping. When you're, you know, trying to choose what to spend your time on."
"41","1.7 - Training/Knowledge","1,2","B-TE","B-TE","Barrier - Training Experience","Participant expresses that a barrier to engaging in an OS practice is the fact that they have no training, or were trained to NOT do an OS practice.",5,"And now that I've gone through and you know, graduated, I just. I don't know how to learn how to preregister things, and I feel like that's a a big gap in my personal knowledge. // this isn't how we've been taught to do research our entire, like. I think I'm kind of maybe on on the older end like I finished my, I started my PhD in 2006. I won't say when I finished it, but because it was a long time. But you know this wasn't how we did research. What we did is, we would kind of come up with our analysis plans, you know, as we're going along. And and you know which is yeah, maybe that's not what we're supposed to do, but that's kind of how I was trained to do it, you know, and it was like, oh, let's do a post. We even called a post hoc. It's like, oh, this correlation looks interesting. Let's see right? // But this is just like not what we've been, how we've been trained, // And so I've been finding that in order to learn more, it requires a lot of self study, and then, of course, finding the time and the bandwidth to move that item up on the priority list is always so challenging, although I really value it so it's it's been a bit of a struggle personally. // Because if I'm being totally honest that, you know, because I wasn't trained, none of us were trying to do this."
"42","1.1 - Expectations, policies, regulations","1,2","B-TL","B-TL","Barrier - Teaching Load","Participant expresses their large teaching load is a barrier to engaging in OS",3,"I'm I have a pretty large teaching load, and it's for me sometimes it's like it's one more thing, and if I put something out there, someone I so right now I teach a 3-3 in the fall, because I just got tenured.  // being someone with a high teaching load at a very teaching focused university // I also teach a 4-4, or I do teach a 4-4, "
"43","1.7 - Training/Knowledge","1,2","B-KOP","B-W","Barrier - Where","Participant expresses they don't know where to post preregistrations, self-archived manuscripts, their data, open educational resources, etc.",3,"Not knowing where to preregister  // And so then I get confused about like, well, where can I put these that they will be findable through the one avenue I've given people to find my work. // But really it's it's more about not having the knowledge of what we can and kind of can't do, and where."
"44","1.6 - Attitudes","1,2","B-WR","B-WR","Barrier - Waste of Resources ","Participant expresses paying OA is a waste of resources. (E.g., when NIH funded study will become public anyway)",4,"My post doc advisor. She never wanted to pay open access fees because we always had to submit everything to to NIH eventually, anyway. So she thought like, why would we spend our money on this when eventually it will be public? So I mean, that was kind of like you're going to do it, anyway. So why are we going to pay $4,000 to do it now? // so why would I pay that versus paying for a graduate student, or like part of a research assistant? It's crazy to me like I would love to support open access, but that is, I think, that's way too much.. // I think we all have a problem with we're doing all this work, and it goes to other publishers, and it's not ours. And we don't get compensated for being authors or being reviewers. That's like a side thing I think we all struggle with. But then adding what X was saying, that we’re gonna pay for it seems like it shouldn't come on us. // So I really think the gold open access is losing its pull because it's like, why bother if NIH accepts a preprint as evidence. So I think it's an interesting future question."
